date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:23	69/69	---MCZ	200	added ('OK')	text/plain	date:Fri,%2003%20Aug%202018%2011:16:23%20GMT	http://www.makeproductions.com/robots.txt		(from )
12:16:25	31568/31568	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2011:16:24%20GMT	http://www.makeproductions.com/	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/index.html	(from )
12:16:26	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2003%20Aug%202018%2011:16:25%20GMT	http://www.makeproductions.com/xmlrpc.php	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/xmlrpc.php	(from http://www.makeproductions.com/)
12:16:26	10558/10558	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202015%2002:54:41%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/09/MAKE-Productions-Primary.jpg	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/2015/09/MAKE-Productions-Primary.jpg	(from http://www.makeproductions.com/)
12:16:27	449/449	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Nov%202015%2002:54:28%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/09/1.png	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/2015/09/1.png	(from http://www.makeproductions.com/)
12:16:28	834/834	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Nov%202015%2002:54:29%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/09/2.png	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/2015/09/2.png	(from http://www.makeproductions.com/)
12:16:29	3377/3377	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Nov%202015%2002:54:29%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/09/3.png	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/2015/09/3.png	(from http://www.makeproductions.com/)
12:16:31	6341/6341	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Nov%202015%2002:54:30%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/09/4.png	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/2015/09/4.png	(from http://www.makeproductions.com/)
12:16:31	23105/23105	---MC-	200	added ('OK')	application/rss+xml	etag:%22bfbbcd66f61c85bff4da387d405a70a8%22	http://www.makeproductions.com/feed/	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/feed/index.html	(from http://www.makeproductions.com/)
12:16:31	1325/1325	---MC-	200	added ('OK')	application/rss+xml	etag:%22eefdf53e73db004eecd709428e01f710%22	http://www.makeproductions.com/comments/feed/	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/comments/feed/index.html	(from http://www.makeproductions.com/)
12:16:31	755/755	---MC-	200	added ('OK')	application/rss+xml	etag:%22eefdf53e73db004eecd709428e01f710%22	http://www.makeproductions.com/sample-page-2/feed/	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/sample-page-2/feed/index.html	(from http://www.makeproductions.com/)
12:16:32	7815/7815	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Nov%202015%2002:54:30%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/09/5.png	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/2015/09/5.png	(from http://www.makeproductions.com/)
12:16:32	1759/1759	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Nov%202015%2002:54:30%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/09/6.png	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/2015/09/6.png	(from http://www.makeproductions.com/)
12:16:33	4209/4209	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Nov%202015%2002:54:31%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/09/7.png	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/2015/09/7.png	(from http://www.makeproductions.com/)
